111001102148;COLEGIO INTEGRADA LA CANDELARIA (IED);KR 2 # 14 - 90;17
111001014664;COLEGIO EL LIBERTADOR (IED);CL 32 SUR # 24 B - 20;18
111001015172;COLEGIO ALEJANDRO OBREGON (IED);DG 45 BIS A SUR # 16 B - 23;18
111001018058;COLEGIO ALEXANDER FLEMING (IED);TV 5 J # 48 F - 69 SUR;18
111001027383;COLEGIO ALFREDO IRIARTE (IED);CL 27 SUR # 22 A - 02;18
111001015733;COLEGIO ANTONIO BARAYA (IED);CL 37 SUR # 23 - 51;18
111001012611;COLEGIO BRAVO PAEZ (IED);CL 32 SUR # 22 - 30;18
111001034134;COLEGIO CLEMENCIA DE CAYCEDO (IED);CL 30 SUR # 18 - 25;18
111001014958;COLEGIO CLEMENCIA HOLGUIN DE URDANETA (IED);KR 5 A # 48 M - 50 SUR;18
111001102091;COLEGIO COLOMBIA VIVA (IED);CL 32 SUR # 24 B - 20;18
111001014664;COLEGIO EL LIBERTADOR (IED);KR 10 # 31 - 29 SUR;18
111001030015;COLEGIO ENRIQUE OLAYA HERRERA (IED);CL 28 SUR # 14 - 51;18
111001027332;COLEGIO GUSTAVO RESTREPO (IED);DG 32 A SUR # 14 A - 97;18
111001025020;COLEGIO ALBERTO LLERAS CAMARGO (IED);KR 111 A # 139 - 88;11
111001093084;COLEGIO ALVARO GOMEZ HURTADO (IED);KR 100 A # 130 - 18;11
111769001502;COLEGIO ANIBAL FERNANDEZ DE SOTO (IED);KR 53 # 135 - 13;11
111001104256;COLEGIO DELIA ZAPATA OLIVELLA (IED);CL 144 C # 141 A - 51;11
111769000247;COLEGIO EL SALITRE - SUBA (IED);CL 163 # 92 - 96;11
111769000174;COLEGIO FILARMONICO SIMON BOLIVAR (IED);KR 91 # 146 C - 63;11
111001104264;COLEGIO GERARDO MOLINA RAMIREZ (IED);KR 143 # 142 A - 62;11
111769003424;COLEGIO GERARDO PAREDES (IED);KR 94 C # 129 A - 04;11
111001104388;COLEGIO GONZALO ARANGO (IED);CL 130 C # 97 - 71;11
111001012475;COLEGIO AGUAS CLARAS (IED);CL 14 SUR # 25 - 05 ESTE;4
111001102016;COLEGIO ALDEMAR ROJAS PLAZAS (IED);KR 10 # 13 - 52 SUR;5
111001030864;COLEGIO ALEMANIA UNIFICADA (IED);CL 37 SUR # 1 F - 00 ESTE;6
111001014168;COLEGIO ALTAMIRA SUR ORIENTAL (IED);CL 42 A SUR # 12 A - 27 ESTE;7
111001018309;COLEGIO ATENAS (IED);KR 1 # 36 H - 12 SUR MJ;8
111001086690;COLEGIO EL MANANTIAL (CED);CL 26 SUR # 17 D - 11 ESTE;9
111001018333;COLEGIO EL RODEO (IED);CL 40 A SUR # 2 - 56 ESTE;10
111001102075;COLEGIO ENTRE NUBES SUR ORIENTAL (IED);CL 43 B SUR # 1 D - 03 ESTE;11
111001027324;COLEGIO FLORENTINO GONZALEZ (IED);KR 5 A # 30 A - 45 SUR;12
111001018341;COLEGIO FRANCISCO JAVIER MATIZ (IED);KR 2 A # 29 A - 29 SUR ;13
111001011975;COLEGIO GRAN COLOMBIA (IED);KR 19 A ESTE # 9 A - 26 SUR;14
111001014451;COLEGIO JOSE ACEVEDO Y GOMEZ (IED);KR 9 B ESTE # 28 - 81 SUR;15

